#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,22,14.068,5.00693,542.741,428.003,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,88.1748
1,1.9,20840,7312,22,-11.3498,1.18673,543.688,422.72,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,86.3662
2,2.9,4.7435e+06,214384,22,10.1872,9.85343,541.406,423.809,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,84.9045
3,3.9,5.4432e+06,245176,22,11.6647,5.79452,544.619,425.677,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,88.6025
4,4.9,4.88792e+06,224944,22,11.761,4.42787,544.433,427.813,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,89.5155
5,5.9,2.92873e+06,130624,22,-12.2439,-6.86603,544.369,431.276,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,91.2825
6,6.9,0,0,22,-6.49089,9.35675,544.703,432.76,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,92.3698
7,7.9,0,0,22,-11.809,1.95441,542.998,434.363,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,91.8628
8,8.9,0,0,22,8.9987,-6.64592,541.506,430.79,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,88.6331
9,9.9,0,0,22,12.5062,3.57167,540.623,428.897,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,86.8659
10,10.9,0,0,22,-9.74927,10.5994,541.317,431.944,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,89.1184
11,11.9,0,0,22,0.383603,10.4251,543.754,434.188,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,92.3825
12,12.9,45024,5976,22,-9.47629,4.53969,544.173,436.22,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,93.8848
13,13.9,4.60898e+06,248768,22,6.10472,-11.6877,546.965,438.193,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,97.2908
14,14.9,0,0,22,-8.62733,5.74832,545.9,438.143,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,96.3982
15,15.9,0,0,22,9.00079,6.68848,544.496,437.322,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,94.7856
16,16.9,0,0,22,3.73607,13.0162,547.046,434.312,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,95.1691
17,17.9,0,0,22,13.0603,-2.11493,551.782,436.255,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,100.176
18,18.9,0,0,22,-3.55898,-12.6373,550.99,431.046,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,96.7736
19,19.9,0,0,22,3.89173,-10.7969,554.494,426.37,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,97.581
20,20.9,45024,5992,22,7.84628,-13.0723,557.321,421.25,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,97.9339
21,21.9,1.98033e+06,88192,22,-10.1465,5.70537,555.461,418.318,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,95.0827
22,22.9,0,0,22,-13.6123,5.75777,553.829,418.036,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,93.4741
23,23.9,0,0,22,10.0418,-10.5041,556.527,418.879,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,96.2778
24,24.9,0,0,22,4.1618,12.1171,559.838,415.909,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,98.2664
25,25.9,0,0,22,-4.76611,13.2858,559.212,416.745,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,97.975
26,26.9,0,0,22,12.4004,1.25412,556.506,417.02,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,95.5618
27,27.9,0,0,22,11.3305,1.48957,558.26,415.742,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,96.7345
28,28.9,0,0,22,-1.3648,12.0023,560.637,417.657,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,99.6255
29,29.9,0,0,22,2.29023,11.3468,560.286,421.999,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,100.94
30,30.9,0,0,22,5.60661,-9.53123,560.609,423.853,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,101.983
31,31.9,0,0,22,-5.00391,10.7082,562.998,424.653,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,104.48
32,32.9,0,0,22,-0.668618,-10.3076,561.669,423.619,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,102.851
33,33.9,0,0,22,-9.7628,2.72798,562.407,422.12,32,0,30309,9,9,CONNECTED_NORMALLY,7,4,236.892
34,34.9,0,0,22,9.90886,9.32278,564.112,420.161,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,103.759
35,35.9,0,0,22,12.8398,-8.55048,564.309,422.307,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,104.748
36,36.9,0,0,22,7.95801,7.92272,565.749,426.004,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,107.533
37,37.9,0,0,22,12.3842,-5.74834,563.52,427.686,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,106.224
