#,Time,rxSpeed,txSpeed,nodeId,velo_x,velo_y,pos_x,pos_y,IsLinkUp,Csgid,Earfcn,Imsi,rrcState,rrcState_str,rrcCellId,rrcDlBw,distfromcell
0,0.9,0,0,22,-6.34798,12.8072,546.005,426.417,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,35.1245
1,1.9,28432,6224,22,12.0646,-4.43687,546.541,428.168,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,34.7723
2,2.9,4.46178e+06,200112,22,1.14123,12.3077,544.743,428.828,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,36.5874
3,3.9,4.32216e+06,192192,22,3.97246,12.4,547.053,427.832,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,34.2413
4,4.9,255632,13328,22,-13.6992,-4.34193,541.454,427.031,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,39.5883
5,5.9,2.39232e+06,106496,22,-14.7855,-0.341841,542.204,424.383,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,38.7414
6,6.9,0,0,22,10.5247,-8.49695,541.063,428.887,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,40.1529
7,7.9,0,0,22,-11.5044,-9.70166,540.636,425.174,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,40.2884
8,8.9,0,0,22,12.2483,-2.95735,539.363,427.582,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,41.671
9,9.9,0,0,22,13.2603,4.61032,543.174,429.616,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,38.2092
10,10.9,0,0,22,13.081,-8.08953,544.643,431.892,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,37.2112
11,11.9,0,0,22,10.0885,-11.3008,547.029,428.804,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,34.3859
12,12.9,0,0,22,-2.7777,12.0133,545.683,428.789,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,35.6772
13,13.9,0,0,22,-2.5631,15.4471,547.957,427.874,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,33.377
14,14.9,0,0,22,3.00249,13.0356,548.041,426.975,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,33.2037
15,15.9,0,0,22,13.7563,-6.03781,549,425.887,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,32.1997
16,16.9,0,0,22,-12.7599,9.55792,550.425,421.596,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,30.8664
17,17.9,0,0,22,11.7571,-7.44026,552.059,421.897,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,29.2806
18,18.9,0,0,22,4.15344,-13.3334,556.299,416.32,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,26.3245
19,19.9,0,0,22,-12.4148,-9.57715,558.299,418.541,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,23.9374
20,20.9,255632,13328,22,-1.65593,-14.309,556.876,419.845,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,24.9845
21,21.9,3.67872e+06,163488,22,4.22823,-11.8056,558.109,422.505,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,23.5309
22,22.9,0,0,22,-12.5348,4.21399,556.651,420.12,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,25.1495
23,23.9,0,0,22,7.17335,-11.6137,555.132,419.279,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,26.7009
24,24.9,0,0,22,3.17666,-14.1483,553.555,415.662,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,29.0021
25,25.9,0,0,22,-0.698827,12.0568,553.656,412.153,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,30.1097
26,26.9,0,0,22,-11.8619,-4.6808,556.767,410.686,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,28.0943
27,27.9,0,0,22,11.1028,8.40149,556.68,413.417,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,26.9829
28,28.9,0,0,22,-10.6977,-5.86165,552.497,413.786,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,30.5454
29,29.9,0,0,22,-12.1301,5.78151,552.601,414.706,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,30.1553
30,30.9,0,0,22,7.48135,12.7797,549.723,416.809,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,32.2591
31,31.9,0,0,22,-2.02473,14.2226,548.838,419.35,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,32.6334
32,32.9,0,0,22,-8.90625,-10.7259,548.714,423.481,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,32.4241
33,33.9,0,0,22,4.63086,-11.963,545.754,421.041,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,35.4093
34,34.9,0,0,22,11.5162,4.99951,544.717,424.086,32,0,30309,9,9,CONNECTED_NORMALLY,3,4,36.2928
