DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
DL,0.204536,20,4,2,1,1,7,1,0,60,0,0,-2.78413,0,0,-5.19836
DL,0.206286,20,6,1,1,1,7,1,0,83,2,0,-2.65802,0,0,-5.09827
DL,0.901786,90,1,3,1,1,7,1,0,60,0,0,-2.14282,0,0,-4.69823
DL,0.924786,92,4,3,1,1,7,1,0,146,4,0,-2.34091,0,7.17346e-08,-4.85114
DL,0.926786,92,6,3,1,1,7,1,0,146,4,0,-2.43088,0,6.67782e-07,-4.92015
DL,0.949804,94,9,3,1,2,7,1,0,296,4,0,-2.59763,0,2.62937e-05,-5.05108
DL,1.15204,115,2,0,1,1,7,1,0,60,0,0,-2.54263,0,0,-5.00751
DL,1.17511,117,5,0,1,5,7,1,0,745,4,0,-2.55789,0,0,-5.02049
DL,1.37729,137,7,1,1,1,7,1,0,60,0,0,-4.53479,0,1.01108e-12,-6.6373
DL,1.40045,140,0,1,1,10,7,1,0,857,2,0,-4.14045,0,0,-6.30506
DL,1.40254,140,2,2,1,1,7,1,0,83,2,0,-4.35774,0,5.60347e-08,-6.48716
DL,1.42554,142,5,2,1,1,7,1,0,83,2,0,-4.17477,0,7.55342e-10,-6.33444
DL,1.42754,142,7,2,1,1,7,1,0,83,2,0,-4.15024,0,3.92118e-10,-6.31315
DL,1.45059,145,0,2,1,4,7,1,0,343,2,0,-4.43949,0,0,-6.55819
DL,1.65279,165,2,3,1,1,7,1,0,60,0,0,-3.85895,0,0,-6.07049
DL,1.67591,167,5,3,1,8,7,1,0,690,2,0,-4.10122,0,0,-6.27147
DL,1.87804,187,8,0,1,1,7,1,0,60,0,0,-2.30384,0,0,-4.82009
DL,1.90118,190,1,0,1,9,7,1,0,1338,4,0,-1.4225,0,0,-4.15674
DL,1.90304,190,3,0,1,1,7,1,0,146,4,0,-1.52718,0,0,-4.23391
DL,1.92623,192,6,0,1,12,7,1,0,1784,4,0,-1.93685,0,0,-4.54045
DL,1.92804,192,8,0,1,1,7,1,0,146,4,0,-2.02089,0,3.89011e-12,-4.60429
DL,1.95123,195,1,0,1,12,7,1,0,1784,4,0,-1.81245,0,0,-4.44706
DL,1.95304,195,3,0,1,1,7,1,0,146,4,0,-1.78717,0,4.44089e-16,-4.42623
DL,1.97623,197,6,0,1,12,7,1,0,1784,4,0,-2.16733,0,0,-4.71686
DL,1.97648,197,6,1,1,12,7,1,0,1784,4,0,-2.17473,0,0,-4.72315
DL,1.97879,197,8,3,1,1,7,1,0,146,4,0,-2.198,0,1.29152e-09,-4.74089
DL,2.00198,200,1,3,1,12,7,1,0,1784,4,0,-1.46874,0,0,-4.19021
DL,2.00223,200,2,0,1,12,7,1,0,1784,4,0,-1.47771,0,0,-4.19675
DL,2.00248,200,2,1,1,12,7,1,0,1784,4,0,-1.47224,0,0,-4.19307
DL,2.00379,200,3,3,1,1,7,1,0,146,4,0,-1.27745,0,0,-4.04998
DL,2.02479,202,4,3,1,1,7,1,0,146,4,0,-0.244409,0,0,-3.3245
DL,2.02698,202,6,3,1,12,7,1,0,2821,6,0,-0.241739,0,0,-3.32279
DL,2.02721,202,7,0,1,11,7,1,0,2585,6,0,-0.288514,0,0,-3.35491
DL,2.02741,202,7,1,1,8,7,1,0,1879,6,0,-0.296845,0,0,-3.35923
DL,2.05004,205,0,0,1,1,7,1,0,233,6,0,-0.158862,0,3.43049e-09,-3.26751
DL,2.05198,205,1,3,1,12,7,1,0,2821,6,0,0.164324,0,0,-3.05383
DL,2.05223,205,2,0,1,12,7,1,0,2821,6,0,0.149967,0,0,-3.06208
DL,2.05248,205,2,1,1,12,7,1,0,2821,6,0,0.223664,0,0,-3.0147
DL,2.0527,205,2,2,1,10,7,1,0,2349,6,0,0.188904,0,0,-3.0377
DL,2.06029,206,0,1,1,1,7,1,0,233,6,0,0.348442,0,2.77556e-16,-2.93502
DL,2.0727,207,2,2,1,10,7,1,0,2349,6,0,0.360827,0,0,-2.92675
DL,2.07698,207,6,3,1,12,7,1,0,2821,6,0,0.278742,0,0,-2.97963
DL,2.07723,207,7,0,1,12,7,1,0,2821,6,0,0.306352,0,0,-2.96182
DL,2.07748,207,7,1,1,12,7,1,0,2821,6,0,0.298401,0,0,-2.96667
DL,2.07773,207,7,2,1,12,7,1,0,2821,6,0,0.386624,0,0,-2.91035
DL,2.07798,207,7,3,1,12,7,1,0,2821,6,0,0.430607,0,0,-2.88214
DL,2.07818,207,8,0,1,9,7,1,0,2115,6,0,0.40207,0,0,-2.89935
DL,2.07904,207,9,0,1,1,7,1,0,233,6,0,0.588281,0,0,-2.78127
DL,2.10054,210,0,2,1,1,7,1,0,233,6,0,0.763685,0,0,-2.6728
DL,2.10223,210,2,0,1,12,7,1,0,2821,6,0,0.849532,0,0,-2.62058
DL,2.10248,210,2,1,1,12,7,1,0,2821,6,0,0.918383,0,0,-2.57795
DL,2.10273,210,2,2,1,12,7,1,0,2821,6,0,0.936646,0,0,-2.56706
DL,2.10298,210,2,3,1,12,7,1,0,4139,8,0,0.901285,0,0.00360894,-2.58945
DL,2.10323,210,3,0,1,12,7,1,0,4139,8,0,1.0302,0,6.78199e-05,-2.51134
DL,2.10346,210,3,1,1,11,7,1,0,3795,8,0,1.05401,0,1.45857e-05,-2.49689
DL,2.10371,210,3,2,1,11,7,1,0,3795,8,0,1.03611,0,2.79438e-05,-2.50786
DL,2.1038,210,3,3,1,2,7,1,0,690,8,0,1.031,0,1.1265e-05,-2.51128
DL,2.11079,211,0,3,1,1,7,1,0,343,8,0,1.48729,0,3.01879e-10,-2.24295
DL,2.12398,212,3,3,1,12,7,1,0,4139,8,0,1.75586,0,0,-2.09347
DL,2.12423,212,4,0,1,12,7,1,0,4139,8,0,1.69667,0,0,-2.12687
DL,2.12448,212,4,1,1,12,7,1,0,4139,8,0,1.7623,0,0,-2.08924
DL,2.12473,212,4,2,1,12,7,1,0,4139,8,0,1.71869,0,0,-2.11487
DL,2.1248,212,4,3,1,2,7,1,0,690,8,0,1.79094,0,0,-2.07376
DL,2.12748,212,7,1,1,12,7,1,0,4139,8,0,2.13101,0,0,-1.89226
DL,2.12773,212,7,2,1,12,7,1,0,4139,8,0,2.14633,0,0,-1.88451
DL,2.12798,212,7,3,1,12,7,1,0,4139,8,0,2.22854,0,0,-1.8408
DL,2.12823,212,8,0,1,12,7,1,0,4139,8,0,2.213,0,0,-1.84994
DL,2.12848,212,8,1,1,12,7,1,0,4139,8,0,2.20989,0,0,-1.84995
DL,2.12871,212,8,2,1,11,7,1,0,3795,8,0,2.09059,0,0,-1.91374
DL,2.12896,212,8,3,1,11,7,1,0,3795,8,0,2.10332,0,0,-1.90602
DL,2.1292,212,9,0,1,10,7,1,0,3449,8,0,1.97629,0,0,-1.9742
DL,2.12946,212,9,1,1,11,7,1,0,3795,8,0,1.93142,0,0,-1.99799
DL,2.12962,212,9,2,1,6,7,1,0,2068,8,0,1.93797,0,0,-1.99406
DL,2.15229,215,2,1,1,1,7,1,0,343,8,0,2.38227,0,0,-1.76301
DL,2.1527,215,2,2,1,10,7,1,0,3449,8,0,2.32762,0,0,-1.7895
DL,2.15295,215,2,3,1,10,7,1,0,3449,8,0,2.38014,0,0,-1.76318
DL,2.15321,215,3,0,1,11,7,1,0,3795,8,0,2.39963,0,0,-1.75385
DL,2.15346,215,3,1,1,11,7,1,0,3795,8,0,2.38578,0,0,-1.75971
DL,2.15371,215,3,2,1,11,7,1,0,3795,8,0,2.39934,0,0,-1.75437
DL,2.15396,215,3,3,1,11,7,1,0,3795,8,0,2.41055,0,0,-1.74691
DL,2.15421,215,4,0,1,11,7,1,0,3795,8,0,2.39953,0,0,-1.75393
DL,2.15446,215,4,1,1,11,7,1,0,3795,8,0,2.38456,0,0,-1.76003
DL,2.15471,215,4,2,1,11,7,1,0,3795,8,0,2.44603,0,0,-1.73017
DL,2.15496,215,4,3,1,11,7,1,0,3795,8,0,2.47701,0,0,-1.71467
DL,2.15521,215,5,0,1,11,7,1,0,3795,8,0,2.53123,0,0,-1.68718
DL,2.15546,215,5,1,1,11,7,1,0,3795,8,0,2.50848,0,0,-1.6992
DL,2.15571,215,5,2,1,11,7,1,0,3795,8,0,2.58787,0,0,-1.65849
DL,2.15596,215,5,3,1,11,7,1,0,3795,8,0,2.60206,0,0,-1.65342
DL,2.15616,215,6,0,1,8,7,1,0,2758,8,0,2.65921,0,0,-1.62405
DL,2.16254,216,2,2,1,1,7,1,0,343,8,0,2.7661,0,0,-1.57243
DL,2.17623,217,6,0,1,12,7,1,0,4139,8,0,2.3087,0,0,-1.79982
DL,2.17648,217,6,1,1,12,7,1,0,4139,8,0,2.34181,0,0,-1.78209
DL,2.17673,217,6,2,1,12,7,1,0,4139,8,0,2.34528,0,0,-1.78041
DL,2.17698,217,6,3,1,12,7,1,0,4139,8,0,2.30612,0,0,-1.80115
DL,2.17723,217,7,0,1,12,7,1,0,4139,8,0,2.31534,0,0,-1.7949
DL,2.17746,217,7,1,1,11,7,1,0,3795,8,0,2.24587,0,0,-1.83226
DL,2.17773,217,7,2,1,12,7,1,0,4139,8,0,2.25568,0,0,-1.82526
DL,2.17798,217,7,3,1,12,7,1,0,4139,8,0,2.37717,0,0,-1.76503
DL,2.17823,217,8,0,1,12,7,1,0,4139,8,0,2.37201,0,0,-1.7669
DL,2.17848,217,8,1,1,12,7,1,0,4139,8,0,2.34281,0,0,-1.78185
DL,2.17873,217,8,2,1,12,7,1,0,4139,8,0,2.41957,0,0,-1.74341
DL,2.17898,217,8,3,1,12,7,1,0,4139,8,0,2.45286,0,0,-1.72571
DL,2.17923,217,9,0,1,12,7,1,0,4139,8,0,2.39337,0,0,-1.75722
DL,2.17948,217,9,1,1,12,7,1,0,4139,8,0,2.39908,0,0,-1.75261
DL,2.17971,217,9,2,1,11,7,1,0,3795,8,0,2.35035,0,0,-1.77906
DL,2.17996,217,9,3,1,11,7,1,0,3795,8,0,2.37202,0,0,-1.76666
DL,2.1802,218,0,0,1,10,7,1,0,3449,8,0,2.4112,0,0,-1.74761
DL,2.18046,218,0,1,1,11,7,1,0,3795,8,0,2.38356,0,0,-1.76174
DL,2.18071,218,0,2,1,11,7,1,0,3795,8,0,2.24708,0,0,-1.83119
DL,2.18096,218,0,3,1,11,7,1,0,3795,8,0,2.23408,0,0,-1.83883
DL,2.18121,218,1,0,1,11,7,1,0,3795,8,0,2.24277,0,0,-1.83255
DL,2.18146,218,1,1,1,11,7,1,0,3795,8,0,2.23819,0,0,-1.83669
DL,2.18171,218,1,2,1,11,7,1,0,3795,8,0,2.24071,0,0,-1.83411
DL,2.18196,218,1,3,1,11,7,1,0,3795,8,0,2.29336,0,0,-1.80829
DL,2.18221,218,2,0,1,11,7,1,0,3795,8,0,2.23099,0,0,-1.83998
DL,2.18246,218,2,1,1,11,7,1,0,3795,8,0,2.19537,0,0,-1.85794
DL,2.18271,218,2,2,1,11,7,1,0,3795,8,0,2.25449,0,0,-1.82819
DL,2.18296,218,2,3,1,11,7,1,0,3795,8,0,2.23865,0,0,-1.83503
DL,2.18321,218,3,0,1,11,7,1,0,3795,8,0,2.25993,0,0,-1.8255
DL,2.18346,218,3,1,1,11,7,1,0,3795,8,0,2.27581,0,0,-1.81631
DL,2.18366,218,3,2,1,8,7,1,0,2758,8,0,2.29891,0,0,-1.80542
DL,2.20373,220,3,2,1,12,7,1,0,4139,8,0,2.61332,0,0,-1.64828
DL,2.20398,220,3,3,1,12,7,1,0,4139,8,0,2.63422,0,0,-1.63714
DL,2.20423,220,4,0,1,12,7,1,0,4139,8,0,2.64873,0,0,-1.63008
DL,2.20448,220,4,1,1,12,7,1,0,4139,8,0,2.66156,0,0,-1.62402
DL,2.20473,220,4,2,1,12,7,1,0,4139,8,0,2.74907,0,0,-1.58276
DL,2.20496,220,4,3,1,11,7,1,0,3795,8,0,2.79543,0,0,-1.55967
DL,2.2052,220,5,0,1,10,7,1,0,3449,8,0,2.8287,0,0,-1.54365
DL,2.20545,220,5,1,1,10,7,1,0,3449,8,0,2.82135,0,0,-1.54693
DL,2.20571,220,5,2,1,11,7,1,0,3795,8,0,2.79472,0,0,-1.56047
DL,2.20596,220,5,3,1,11,7,1,0,3795,8,0,2.88037,0,0,-1.51852
DL,2.20621,220,6,0,1,11,7,1,0,3795,8,0,2.87023,0,0,-1.52351
DL,2.20646,220,6,1,1,11,7,1,0,3795,8,0,2.88283,0,0,-1.51718
DL,2.20671,220,6,2,1,11,7,1,0,3795,8,0,2.92278,0,0,-1.49846
DL,2.20696,220,6,3,1,11,7,1,0,3795,8,0,2.92916,0,0,-1.49607
DL,2.20721,220,7,0,1,11,7,1,0,3795,8,0,2.94608,0,0,-1.48728
DL,2.20746,220,7,1,1,11,7,1,0,3795,8,0,2.90313,0,0,-1.50777
DL,2.20771,220,7,2,1,11,7,1,0,3795,8,0,2.89934,0,0,-1.51014
DL,2.20796,220,7,3,1,11,7,1,0,3795,8,0,3.02405,0,0,-1.45283
DL,2.20821,220,8,0,1,11,7,1,0,3795,8,0,3.06035,0,0,-1.43577
DL,2.20846,220,8,1,1,11,7,1,0,3795,8,0,3.06235,0,0,-1.43544
DL,2.20871,220,8,2,1,11,7,1,0,3795,8,0,3.10578,0,0,-1.41561
DL,2.20896,220,8,3,1,11,7,1,0,3795,8,0,3.05939,0,0,-1.43697
DL,2.20921,220,9,0,1,11,7,1,0,3795,8,0,3.07994,0,0,-1.42757
DL,2.20946,220,9,1,1,11,7,1,0,3795,8,0,3.09666,0,0,-1.41939
DL,2.20971,220,9,2,1,11,7,1,0,3795,8,0,3.12762,0,0,-1.40573
DL,2.20996,220,9,3,1,11,7,1,0,3795,8,0,3.17949,0,0,-1.38192
DL,2.21021,221,0,0,1,11,7,1,0,3795,8,0,3.21533,0,0,-1.36672
DL,2.21046,221,0,1,1,11,7,1,0,3795,8,0,3.24605,0,0,-1.35165
DL,2.21071,221,0,2,1,11,7,1,0,3795,8,0,3.29858,0,0,-1.3291
DL,2.21096,221,0,3,1,11,7,1,0,3795,8,0,3.30957,0,0,-1.32395
DL,2.21121,221,1,0,1,11,7,1,0,3795,8,0,3.30164,0,0,-1.32724
DL,2.21146,221,1,1,1,11,7,1,0,3795,8,0,3.2871,0,0,-1.33358
DL,2.21162,221,1,2,1,6,7,1,0,2068,8,0,3.35383,0,0,-1.3042
DL,2.21379,221,3,3,1,1,7,1,0,343,8,0,3.20997,0,0,-1.36866
DL,2.22898,222,8,3,1,12,7,1,0,4139,8,0,3.69072,0,0,-1.16015
DL,2.22923,222,9,0,1,12,7,1,0,4139,8,0,3.70165,0,0,-1.15132
DL,2.22948,222,9,1,1,12,7,1,0,4139,8,0,3.622,0,0,-1.18846
DL,2.22973,222,9,2,1,12,7,1,0,4139,8,0,3.54296,0,0,-1.22165
DL,2.22998,222,9,3,1,12,7,1,0,4139,8,0,3.64396,0,0,-1.1772
DL,2.23021,223,0,0,1,11,7,1,0,3795,8,0,3.59081,0,0,-1.20207
DL,2.23045,223,0,1,1,10,7,1,0,3449,8,0,3.53343,0,0,-1.22935
DL,2.2307,223,0,2,1,10,7,1,0,3449,8,0,3.47964,0,0,-1.25196
DL,2.23096,223,0,3,1,11,7,1,0,3795,8,0,3.43393,0,0,-1.27077
DL,2.23121,223,1,0,1,11,7,1,0,3795,8,0,3.37171,0,0,-1.29834
DL,2.23146,223,1,1,1,11,7,1,0,3795,8,0,3.42951,0,0,-1.27317
DL,2.2317,223,1,2,1,10,7,1,0,3449,8,0,3.38413,0,0,-1.29295
DL,2.23196,223,1,3,1,11,7,1,0,3795,8,0,3.3619,0,0,-1.30163
DL,2.23221,223,2,0,1,11,7,1,0,3795,8,0,3.35263,0,0,-1.30573
DL,2.23246,223,2,1,1,11,7,1,0,3795,8,0,3.29758,0,0,-1.33046
DL,2.23271,223,2,2,1,11,7,1,0,3795,8,0,3.31122,0,0,-1.32321
DL,2.23296,223,2,3,1,11,7,1,0,3795,8,0,3.25157,0,0,-1.34988
DL,2.23321,223,3,0,1,11,7,1,0,3795,8,0,3.26296,0,0,-1.3438
DL,2.23346,223,3,1,1,11,7,1,0,3795,8,0,3.31904,0,0,-1.3198
DL,2.23371,223,3,2,1,11,7,1,0,3795,8,0,3.43408,0,0,-1.27072
DL,2.23396,223,3,3,1,11,7,1,0,3795,8,0,3.52654,0,0,-1.23116
DL,2.23421,223,4,0,1,11,7,1,0,3795,8,0,3.53946,0,0,-1.22547
DL,2.23446,223,4,1,1,11,7,1,0,3795,8,0,3.56791,0,0,-1.21179
DL,2.23471,223,4,2,1,11,7,1,0,3795,8,0,3.5948,0,0,-1.2012
DL,2.23496,223,4,3,1,11,7,1,0,3795,8,0,3.60545,0,0,-1.19388
DL,2.23521,223,5,0,1,11,7,1,0,3795,8,0,3.74286,0,0,-1.12987
DL,2.23546,223,5,1,1,11,7,1,0,3795,8,0,3.74422,0,0,-1.13149
DL,2.23571,223,5,2,1,11,7,1,0,3795,8,0,3.81879,0,0,-1.09278
DL,2.23596,223,5,3,1,11,7,1,0,3795,8,0,3.89814,0,0,-1.0476
DL,2.23621,223,6,0,1,11,7,1,0,3795,8,0,3.86987,0,0,-1.07189
DL,2.23646,223,6,1,1,11,7,1,0,3795,8,0,3.83518,0,0,-1.07653
DL,2.23671,223,6,2,1,11,7,1,0,5176,10,0,3.77799,0,0.43588,-3.98572
DL,2.23696,223,6,3,1,11,7,1,0,5176,10,0,3.79936,0,0.36089,-3.97338
DL,2.23721,223,7,0,1,11,7,1,0,3795,8,0,3.82259,0,0,-1.09414
DL,2.23746,223,7,1,1,11,7,1,0,3795,8,0,3.81726,0,0,-1.08801
DL,2.23771,223,7,2,1,11,7,1,0,3795,8,0,3.92049,0,0,-1.04389
DL,2.23796,223,7,3,1,11,7,1,0,3795,8,0,3.95995,0,0,-1.01328
DL,2.23805,223,8,0,1,2,7,1,0,690,8,0,3.96727,0,0,-1.01465
DL,2.24129,224,1,1,1,1,7,1,0,469,10,0,3.8733,0,6.97948e-05,-3.93067
DL,2.25423,225,4,0,1,12,7,1,0,5646,10,0,4.0404,0,0.0132573,-3.83626
DL,2.25448,225,4,1,1,12,7,1,0,5646,10,0,4.04866,0,0.0114386,-3.83184
DL,2.25473,225,4,2,1,12,7,1,0,5646,10,0,4.10659,0,0.00354443,-3.79884
DL,2.25489,225,4,3,1,7,7,1,0,3291,10,0,4.10815,0,0.00215211,-3.79805
DL,2.2557,225,5,2,1,10,7,1,0,4704,10,0,4.0796,0,0.00526031,-3.81329
DL,2.25595,225,5,3,1,10,7,1,0,4704,10,0,4.03599,0,0.0124516,-3.83838
DL,2.25621,225,6,0,1,11,7,1,0,5176,10,0,4.08824,0,0.00453691,-3.80918
DL,2.25648,225,6,1,1,12,7,1,0,5646,10,0,4.10364,0,0.0037375,-3.80027
DL,2.25671,225,6,2,1,11,7,1,0,5176,10,0,4.04831,0,0.00994894,-3.83164
DL,2.25696,225,6,3,1,11,7,1,0,5176,10,0,3.97587,0,0.0355416,-3.87217
DL,2.25723,225,7,0,1,12,7,1,0,5646,10,0,3.86668,0,0.198797,-3.93534
DL,2.25737,225,7,1,1,6,7,1,0,2821,10,0,3.91011,0,0.0579996,-3.91039
DL,2.26629,226,6,1,1,1,7,1,0,469,10,0,3.65746,0,0.00740578,-4.05467
DL,2.28254,228,2,2,1,1,7,1,0,469,10,0,4.04281,0,4.79232e-07,-3.83451
DL,2.28429,228,4,1,1,1,7,1,0,469,10,0,3.99652,0,2.13005e-06,-3.86089
DL,2.30729,230,7,1,1,1,7,1,0,469,10,0,4.65164,0,0,-3.501
DL,2.50929,250,9,1,1,1,7,1,0,60,0,0,5.98643,0,0,-0.10723
DL,2.5323,253,2,1,1,2,7,1,0,1157,12,0,6.09031,0,0,-2.7725
DL,2.73454,273,4,2,1,1,7,1,0,60,0,0,4.5365,0,0,-0.686292
DL,2.75757,275,7,2,1,3,7,1,0,1409,10,0,4.18239,0,0.000166173,-3.75673
DL,2.75954,275,9,2,1,1,7,1,0,469,10,0,4.20279,0,1.38376e-09,-3.74439
DL,2.78259,278,2,2,1,4,7,1,0,1879,10,0,4.10023,0,0.00148994,-3.80188
DL,2.78454,278,4,2,1,1,7,1,0,469,10,0,3.91517,0,2.24349e-05,-3.9065
DL,2.80759,280,7,2,1,4,7,1,0,1879,10,0,3.43702,1,0.972709,-4.18387
DL,2.80859,280,8,2,1,4,7,1,0,1879,10,1,3.59568,0,0,-4.13704
DL,2.81129,281,1,1,1,1,7,1,0,343,8,0,3.67832,0,0,-1.16407
DL,2.83441,283,4,1,1,8,7,1,0,3764,10,0,3.92509,0,0.0571992,-3.90137
DL,2.83629,283,6,1,1,1,7,1,0,469,10,0,4.24442,0,2.71858e-10,-3.72215
DL,2.85948,285,9,1,1,12,7,1,0,5646,10,0,5.2209,0,0,-3.20138
DL,2.85954,285,9,2,1,1,7,1,0,469,10,0,5.27305,0,0,-3.17444
DL,2.86129,286,1,1,1,1,7,1,0,580,12,0,5.31189,0,8.45032e-11,-3.15496
DL,2.88448,288,4,1,1,12,7,1,0,6964,12,0,5.04839,0,3.80817e-05,-3.29095
DL,2.88454,288,4,2,1,1,7,1,0,580,12,0,5.09526,0,7.24865e-07,-3.26628
DL,2.88629,288,6,1,1,1,7,1,0,580,12,0,4.80989,0,0.00278037,-3.41582
DL,2.90948,290,9,1,1,12,7,1,0,6964,12,0,4.97318,0,0.000406965,-3.32983
DL,2.90964,290,9,2,1,7,7,1,0,4060,12,0,5.11616,0,2.06276e-06,-3.25575
DL,2.91129,291,1,1,1,1,7,1,0,580,12,0,5.06755,0,1.92168e-06,-3.28056
DL,2.93448,293,4,1,1,12,7,1,0,6964,12,0,4.62019,0,0.549831,-3.51704
DL,2.93473,293,4,2,1,12,7,1,0,6964,12,0,4.63489,0,0.47104,-3.50843
DL,2.93484,293,4,3,1,4,7,1,0,2317,12,0,4.63318,0,0.23089,-3.50956
DL,2.93629,293,6,1,1,1,7,1,0,469,10,0,4.78829,0,0,-3.42724
DL,2.95729,295,7,1,1,1,7,1,0,580,12,0,5.33505,0,2.76182e-11,-3.14314
DL,2.95948,295,9,1,1,12,7,1,0,6964,12,0,5.09494,0,7.21219e-06,-3.26621
DL,2.95973,295,9,2,1,12,7,1,0,6964,12,0,5.14055,0,1.38499e-06,-3.24332
DL,2.95998,295,9,3,1,12,7,1,0,6964,12,0,5.13799,0,1.49124e-06,-3.24431
DL,2.96014,296,0,0,1,7,7,1,0,4060,12,0,5.16035,0,3.58394e-07,-3.23219
DL,2.96754,296,7,2,1,1,7,1,0,580,12,0,4.6147,0,0.0833815,-3.52045
DL,2.98014,298,0,0,1,7,7,1,0,4060,12,0,4.80197,0,0.0200691,-3.42054
DL,2.98448,298,4,1,1,12,7,1,0,6964,12,0,4.71312,0,0.169584,-3.46706
DL,2.98473,298,4,2,1,12,7,1,0,6964,12,0,4.6353,0,0.474752,-3.50884
DL,2.98498,298,4,3,1,12,7,1,0,6964,12,0,4.61917,1,0.553655,-3.51745
DL,2.98523,298,5,0,1,12,7,1,0,5646,10,0,4.64755,0,2.70593e-10,-3.5024
DL,2.98548,298,5,1,1,12,7,1,0,5646,10,0,4.5102,0,4.65609e-08,-3.57649
DL,2.98571,298,5,2,1,11,7,1,0,5176,10,0,4.5277,0,2.12729e-08,-3.56652
DL,2.98598,298,5,3,1,12,7,1,0,6964,12,1,4.62249,0,0,-3.51677
DL,2.98604,298,6,0,1,1,7,1,0,469,10,0,4.6184,0,0,-3.51818
DL,2.98654,298,6,2,1,1,7,1,0,469,10,0,4.61729,0,0,-3.51901
DL,3.00973,300,9,2,1,12,7,1,0,5646,10,0,4.04359,0,0.0122867,-3.83397
DL,3.00998,300,9,3,1,12,7,1,0,5646,10,0,4.0177,0,0.0202307,-3.8493
DL,3.01023,301,0,0,1,12,7,1,0,5646,10,0,4.0225,0,0.0183635,-3.84626
DL,3.01037,301,0,1,1,6,7,1,0,2821,10,0,4.04163,0,0.00656614,-3.83587
DL,3.0112,301,1,0,1,10,7,1,0,4704,10,0,3.90226,0,0.107692,-3.91372
DL,3.01145,301,1,1,1,10,7,1,0,4704,10,0,3.92113,0,0.0839066,-3.90366
DL,3.01171,301,1,2,1,11,7,1,0,5176,10,0,3.95933,0,0.0460252,-3.88121
DL,3.01198,301,1,3,1,12,7,1,0,4139,8,0,4.04042,0,0,-0.976882
DL,3.01221,301,2,0,1,11,7,1,0,5176,10,0,4.08251,0,0.00500599,-3.81191
DL,3.01246,301,2,1,1,11,7,1,0,5176,10,0,4.08504,0,0.00498571,-3.81179
DL,3.01273,301,2,2,1,12,7,1,0,5646,10,0,4.20091,0,0.00041867,-3.74594
DL,3.0128,301,2,3,1,2,7,1,0,936,10,0,4.1133,0,8.78775e-08,-3.79545
DL,3.01979,301,9,3,1,1,7,1,0,469,10,0,3.98161,0,3.40332e-06,-3.86955
DL,3.03298,303,2,3,1,12,7,1,0,5646,10,0,3.55404,1,0.990719,-4.1148
DL,3.03323,303,3,0,1,12,7,1,0,5646,10,0,3.50042,1,0.998633,-4.14566
DL,3.03348,303,3,1,1,12,7,1,0,5646,10,0,3.42325,1,0.999968,-4.19198
DL,3.03373,303,3,2,1,12,7,1,0,4139,8,0,3.39602,0,0,-1.2866
DL,3.03398,303,3,3,1,12,7,1,0,5646,10,1,3.33563,0,0,-4.17883
DL,3.03423,303,4,0,1,12,7,1,0,5646,10,1,3.33788,0,0,-4.19336
DL,3.03448,303,4,1,1,12,7,1,0,5646,10,1,3.33164,0,0,-4.21877
DL,3.03473,303,4,2,1,12,7,1,0,4139,8,0,3.25242,0,0,-1.34966
