#time,nodeid,segNum,lastChunkSize,lastChunkStartTime,lastChunkFinishTime,bufferUpto,totalRebuffer,lastQuality,currentRebuffer
+2148985713.0ns,22,0,130550,1.39974,2.14899,4,0,0,0
+4185485713.0ns,22,1,6667126,2.14899,4.18549,5.9635,0,5,0
+5565003570.0ns,22,2,3211901,4.18549,5.565,8.58398,0,5,0
+6617985713.0ns,22,3,1639262,5.565,6.61799,11.531,0,5,0
+7669485713.0ns,22,4,1551364,6.61799,7.66949,14.4795,0,5,0
+8519985713.0ns,22,5,581276,7.66949,8.51999,17.629,0,5,0
+9470985713.0ns,22,6,1077210,8.51999,9.47099,20.678,0,5,0
+10775985713.0ns,22,7,2947651,9.47099,10.776,23.373,0,5,0
+11953985713.0ns,22,8,2231954,10.776,11.954,26.195,0,5,0
+13081735713.0ns,22,9,1973821,11.954,13.0817,29.0673,0,5,0
+14033253570.0ns,22,10,1110053,13.0817,14.0333,32.1157,0,5,0
+17124985713.0ns,22,11,1131566,16.149,17.125,33.024,0,5,0
+21175735713.0ns,22,12,1411867,20.149,21.1757,32.9733,0,5,0
+25352485713.0ns,22,13,2342758,24.149,25.3525,32.7965,0,5,0
+29255735713.0ns,22,14,1849212,28.149,29.2557,32.8933,0,5,0
+33024003570.0ns,22,15,624663,32.149,33.024,33.125,0,5,0
+37074485713.0ns,22,16,869686,36.149,37.0745,33.0745,0,5,0
+41277235713.0ns,22,17,1991788,40.149,41.2772,32.8717,0,5,0
+45200735713.0ns,22,18,1529997,44.149,45.2007,32.9483,0,5,0
+49302235713.0ns,22,19,2096269,48.149,49.3022,32.8468,0,5,0
+53731485713.0ns,22,20,4306089,52.149,53.7315,32.4175,0,5,0
+57276735713.0ns,22,21,1944846,56.149,57.2767,32.8723,0,5,0
+60999735713.0ns,22,22,572542,60.149,60.9997,33.1493,0,5,0
+65176253570.0ns,22,23,1479681,64.149,65.1763,32.9727,0,5,0
+69023985713.0ns,22,24,606006,68.149,69.024,33.125,0,5,0
