DL/UL,time,frame,subF,slot,1stSym,symbol#,cellId,rnti,ccId,tbSize,mcs,rv,SINR(dB),corrupt,TBler,SINR_MIN(dB)
UL,0.0455357,4,5,2,1,1,3,1,0,60,0,0,11.888,0,0,-0.277699
UL,0.0457857,4,5,3,1,1,3,1,0,60,0,0,11.918,0,0,-0.279306
UL,0.0460357,4,6,0,1,1,3,1,0,60,0,0,11.8778,0,0,-0.274814
UL,0.0655357,6,5,2,1,1,8,1,0,60,0,0,12.1016,0,0,0
UL,0.0655357,6,5,2,1,1,4,1,0,60,0,0,2.92006,0,0,-1.45984
UL,0.0655357,6,5,2,1,1,9,1,0,60,0,0,-2.31638,0,0,-5.38145
UL,0.0655357,6,5,2,1,1,7,1,0,60,0,0,5.8103,0,0,-0.480937
UL,0.0655357,6,5,2,1,1,5,1,0,60,0,0,-3.1843,0,0,-5.4967
UL,0.0657857,6,5,3,1,1,8,1,0,60,0,0,12.108,0,0,0
UL,0.0657857,6,5,3,1,1,4,1,0,60,0,0,2.92636,0,0,-1.45683
UL,0.0657857,6,5,3,1,1,9,1,0,60,0,0,-2.37709,0,0,-5.36785
UL,0.0657857,6,5,3,1,1,7,1,0,60,0,0,5.88056,0,0,-0.48079
UL,0.0657857,6,5,3,1,1,5,1,0,60,0,0,-3.18729,0,0,-5.49967
UL,0.0658036,6,5,3,2,1,9,2,0,60,0,0,-2.20095,0,0,-5.14474
UL,0.0660357,6,6,0,1,1,8,1,0,60,0,0,12.0923,0,0,0
UL,0.0660357,6,6,0,1,1,4,1,0,60,0,0,2.90631,0,0,-1.46639
UL,0.0660357,6,6,0,1,1,9,1,0,60,0,0,-2.41079,0,0,-5.3764
UL,0.0660357,6,6,0,1,1,7,1,0,60,0,0,5.95263,0,0,-0.485188
UL,0.0660357,6,6,0,1,1,5,1,0,60,0,0,-3.15472,0,0,-5.47346
UL,0.0660536,6,6,0,2,1,9,2,0,60,0,0,-2.09591,0,0,-5.0688
UL,0.0663036,6,6,1,2,1,9,2,0,60,0,0,-2.21686,0,0,-5.15427
UL,0.260786,26,0,3,1,1,7,2,0,60,0,0,-1.30936,0,0,-4.54953
UL,0.261036,26,1,0,1,1,7,2,0,60,0,0,-1.36893,0,0,-4.589
UL,0.261286,26,1,1,1,1,7,2,0,60,0,0,-1.29807,0,0,-4.53815
UL,0.377036,37,7,0,1,1,3,2,0,60,0,0,6.66677,0,0,0
UL,0.377286,37,7,1,1,1,3,2,0,60,0,0,6.69966,0,0,0
UL,0.377536,37,7,2,1,1,3,2,0,60,0,0,6.76629,0,0,0
UL,0.900804,90,0,3,1,2,7,2,0,123,0,0,-0.471903,0,0,-3.95321
UL,0.901054,90,1,0,1,2,7,2,0,123,0,0,-0.37719,0,0,-3.89248
UL,0.901304,90,1,1,1,2,7,2,0,123,0,0,-0.402094,0,0,-3.91055
UL,0.925804,92,5,3,1,2,7,2,0,375,5,0,-0.80454,0,3.70148e-13,-4.19117
UL,0.926054,92,6,0,1,2,7,2,0,375,5,0,-0.8532,0,6.71702e-12,-4.23369
UL,0.926304,92,6,1,1,2,7,2,0,375,5,0,-0.809654,0,7.48401e-13,-4.20124
UL,0.951036,95,1,0,1,1,7,2,0,186,5,0,-0.354083,0,4.03869e-11,-3.88077
UL,1.15105,115,1,0,1,2,7,2,0,123,0,0,0.108778,0,0,-3.59688
UL,1.1513,115,1,1,1,2,7,2,0,123,0,0,0.0976814,0,0,-3.58197
UL,1.15155,115,1,2,1,2,7,2,0,123,0,0,0.0444897,0,0,-3.59881
UL,1.17629,117,6,1,1,1,7,2,0,233,6,0,-0.190969,0,0.00271202,-3.74558
UL,1.3763,137,6,1,1,2,7,2,0,123,0,0,0.177784,0,0,-3.54925
UL,1.37655,137,6,2,1,2,7,2,0,123,0,0,0.157122,0,0,-3.56111
UL,1.3768,137,6,3,1,2,7,2,0,123,0,0,0.180876,0,0,-3.53888
UL,1.40154,140,1,2,1,1,7,2,0,233,6,0,-0.0353939,0,0.000497215,-3.66066
UL,1.40179,140,1,3,1,1,7,2,0,233,6,0,0.0868996,0,8.4542e-05,-3.58419
UL,1.40204,140,2,0,1,1,7,2,0,233,6,0,0.0449643,0,0.000221085,-3.62439
UL,1.42629,142,6,1,1,1,7,2,0,233,6,0,-0.615202,0,0.174495,-4.06641
UL,1.42654,142,6,2,1,1,7,2,0,233,6,0,-0.643043,1,0.202218,-4.08502
UL,1.42679,142,6,3,1,1,7,2,0,233,6,0,-0.700161,1,0.272537,-4.12666
UL,1.42729,142,7,1,1,1,7,2,0,233,6,1,-0.666639,0,0,-4.09287
UL,1.42754,142,7,2,1,1,7,2,0,233,6,1,-0.669532,0,0,-4.11463
UL,1.45129,145,1,1,1,1,7,2,0,186,5,0,-0.661949,0,1.17708e-07,-4.0801
UL,1.47254,147,2,2,1,1,9,3,0,60,0,0,2.01256,0,0,-2.54926
UL,1.47279,147,2,3,1,1,9,3,0,60,0,0,1.91073,0,0,-2.59563
UL,1.47304,147,3,0,1,1,9,3,0,60,0,0,1.95938,0,0,-2.57596
UL,1.6513,165,1,1,1,2,9,3,0,123,0,0,4.66122,0,0,-1.46428
UL,1.65155,165,1,2,1,2,9,3,0,123,0,0,4.57234,0,0,-1.5129
UL,1.6518,165,1,3,1,2,9,3,0,123,0,0,4.62738,0,0,-1.50934
UL,1.67654,167,6,2,1,1,9,3,0,398,9,0,5.4486,0,0,-1.2395
UL,1.87655,187,6,2,1,2,9,3,0,123,0,0,1.98152,0,0,-2.63242
UL,1.8768,187,6,3,1,2,9,3,0,123,0,0,1.95814,0,0,-2.64545
UL,1.87705,187,7,0,1,2,9,3,0,123,0,0,1.83939,0,0,-2.704
UL,1.90179,190,1,3,1,1,9,3,0,288,7,0,2.52736,0,5.21805e-15,-2.29394
UL,1.90204,190,2,0,1,1,9,3,0,288,7,0,2.55041,0,1.60982e-15,-2.27451
UL,1.90229,190,2,1,1,1,9,3,0,288,7,0,2.55283,0,2.88658e-15,-2.284
UL,1.92679,192,6,3,1,1,9,3,0,343,8,0,-0.431923,1,1,-3.94925
UL,1.92704,192,7,0,1,1,9,3,0,343,8,0,-0.465819,1,1,-3.96826
UL,1.92729,192,7,1,1,1,9,3,0,343,8,0,-0.404093,1,1,-3.92922
UL,1.92754,192,7,2,1,1,9,3,0,343,8,1,-0.426427,0,0,-3.9464
UL,1.92779,192,7,3,1,1,9,3,0,343,8,1,-0.366997,0,0,-3.93788
UL,1.92804,192,8,0,1,1,9,3,0,343,8,1,-0.286406,0,0,-3.89462
UL,1.95254,195,2,2,1,1,9,3,0,233,6,0,2.44293,0,0,-2.31979
UL,1.95279,195,2,3,1,1,9,3,0,233,6,0,2.44821,0,0,-2.3148
UL,1.95307,195,3,0,1,3,9,3,0,186,0,0,2.38688,0,0,-2.33646
UL,1.97754,197,7,2,1,1,9,3,0,343,8,0,0.900618,1,0.999738,-3.20722
UL,1.97779,197,7,3,1,1,9,3,0,343,8,0,0.998813,1,0.99741,-3.13262
UL,1.97804,197,8,0,1,1,9,3,0,343,8,0,0.990634,1,0.998739,-3.15743
UL,1.97829,197,8,1,1,1,9,3,0,343,8,1,1.07753,0,0,-3.16232
UL,1.97854,197,8,2,1,1,9,3,0,343,8,1,1.21754,0,0,-3.09008
UL,1.97879,197,8,3,1,1,9,3,0,343,8,1,1.23323,0,0,-3.09721
UL,2.00329,200,3,1,1,1,9,3,0,288,7,0,2.82428,0,0,-2.14042
UL,2.00354,200,3,2,1,1,9,3,0,288,7,0,2.65697,0,0,-2.20906
UL,2.00386,200,3,3,1,5,9,3,0,312,0,0,2.71232,0,0,-2.19124
UL,2.02829,202,8,1,1,1,9,3,0,343,8,0,1.92241,0,0.0197532,-2.62947
UL,2.02854,202,8,2,1,1,9,3,0,343,8,0,1.96221,0,0.0123727,-2.61126
UL,2.0288,202,8,3,1,2,9,3,0,690,8,0,1.88802,0,0.00914425,-2.65923
UL,2.02905,202,9,0,2,1,9,3,0,343,8,0,1.86501,1,0.0499129,-2.6701
UL,2.02979,202,9,3,1,1,9,3,0,343,8,1,1.53681,0,0,-2.76961
UL,2.04929,204,9,1,1,1,9,3,0,343,8,0,2.76659,0,2.44464e-11,-2.20863
UL,2.04954,204,9,2,1,1,9,3,0,343,8,0,2.78486,0,1.24694e-11,-2.1998
UL,2.04979,204,9,3,1,1,9,3,0,343,8,0,2.754,0,3.01342e-11,-2.2114
UL,2.05329,205,3,1,1,1,9,3,0,343,8,0,2.66901,0,8.68916e-11,-2.22566
UL,2.05354,205,3,2,1,1,9,3,0,343,8,0,2.6727,0,7.31482e-11,-2.22332
UL,2.0538,205,3,3,1,2,9,3,0,690,8,0,2.78944,0,0,-2.17798
UL,2.05404,205,4,0,1,1,9,3,0,343,8,0,2.77702,0,1.23046e-12,-2.17049
UL,2.07404,207,4,0,1,1,9,3,0,343,8,0,3.17482,0,0,-2.00483
UL,2.07845,207,8,1,10,1,9,3,0,398,9,0,2.9219,0,0.0880953,-2.16348
UL,2.07854,207,8,2,1,1,9,3,0,398,9,0,2.85971,0,0.159197,-2.19631
UL,2.0788,207,8,3,1,2,9,3,0,794,9,0,3.03722,0,0.0687905,-2.12134
UL,2.07904,207,9,0,1,1,9,3,0,398,9,0,3.05643,0,0.0352713,-2.12165
UL,2.0793,207,9,1,2,1,9,3,0,343,8,0,3.0449,0,4.9738e-14,-2.13226
UL,2.07954,207,9,2,1,1,9,3,0,398,9,0,2.99378,1,0.0757517,-2.15595
UL,2.08029,208,0,1,1,1,9,3,0,398,9,1,3.0826,0,0,-2.13866
UL,2.08479,208,4,3,1,1,9,3,0,398,9,0,2.78424,0,0.370884,-2.25884
UL,2.08504,208,5,0,1,1,9,3,0,398,9,0,2.76585,0,0.391829,-2.26402
UL,2.08529,208,5,1,1,1,9,3,0,398,9,0,2.85431,0,0.229966,-2.22042
UL,2.09979,209,9,3,1,1,9,3,0,343,8,0,1.68046,0,0.132634,-2.72294
UL,2.10004,210,0,0,1,1,9,3,0,343,8,0,1.763,0,0.0615764,-2.68039
UL,2.10029,210,0,1,1,1,9,3,0,343,8,0,1.74833,0,0.0631607,-2.68166
UL,2.10055,210,0,2,2,1,9,3,0,288,7,0,1.69725,0,1.16324e-06,-2.70782
UL,2.10373,210,3,2,12,1,9,3,0,288,7,0,1.73663,0,3.34516e-07,-2.6723
UL,2.10398,210,3,3,12,1,9,3,0,288,7,0,1.79772,0,1.19111e-07,-2.64427
UL,2.10409,210,4,0,3,2,9,3,0,580,7,0,1.81718,0,0,-2.63141
UL,2.10429,210,4,1,1,1,9,3,0,288,7,0,1.71579,0,7.22401e-07,-2.69401
UL,2.10454,210,4,2,1,1,9,3,0,288,7,0,1.71376,0,7.77441e-07,-2.69612
UL,2.10504,210,5,0,1,1,9,3,0,288,7,0,1.81455,0,1.14787e-07,-2.64329
UL,2.12529,212,5,1,1,1,9,3,0,288,7,0,2.55712,0,5.38458e-15,-2.29441
UL,2.12898,212,8,3,12,1,9,3,0,343,8,0,1.60468,0,0.280477,-2.77653
UL,2.12923,212,9,0,11,2,9,3,0,690,8,0,1.61931,0,0.147692,-2.76574
UL,2.12948,212,9,1,11,2,9,3,0,690,8,0,1.72837,1,0.0426408,-2.71072
UL,2.12973,212,9,2,12,1,9,3,0,288,7,0,1.65133,0,4.49863e-06,-2.7488
UL,2.12998,212,9,3,12,1,9,3,0,288,7,0,1.68886,0,1.46293e-06,-2.71458
UL,2.13023,213,0,0,11,2,9,3,0,690,8,1,1.72371,0,0,-2.70596
UL,2.1313,213,1,1,1,2,9,3,0,580,7,0,2.06243,0,0,-2.56807
UL,2.13157,213,1,2,1,3,9,3,0,865,7,0,2.08093,0,0,-2.58298
UL,2.13182,213,1,3,1,3,9,3,0,865,7,0,2.25938,0,0,-2.51024
UL,2.13204,213,2,0,1,1,9,3,0,343,8,0,2.36346,0,5.92051e-05,-2.45768
UL,2.13604,213,6,0,1,1,9,3,0,343,8,0,3.63266,0,0,-1.88088
UL,2.13629,213,6,1,1,1,9,3,0,343,8,0,3.8331,0,0,-1.79855
UL,2.13654,213,6,2,1,1,9,3,0,343,8,0,3.93817,0,0,-1.74379
UL,2.15234,215,2,1,1,4,9,3,0,1595,9,0,1.22409,1,1,-2.97351
UL,2.15259,215,2,2,1,4,9,3,0,1595,9,0,1.1406,1,1,-3.02089
UL,2.15298,215,2,3,9,4,9,3,0,1595,9,0,1.15539,1,1,-3.01441
UL,2.15316,215,3,0,5,4,9,3,0,1595,9,1,1.17004,0,0,-2.98439
UL,2.15323,215,3,0,9,4,9,3,0,1157,7,0,1.1637,0,8.53539e-12,-2.99759
UL,2.15343,215,3,1,6,4,9,3,0,1595,9,1,1.30051,0,0,-2.96814
UL,2.15348,215,3,1,10,3,9,3,0,865,7,0,1.27704,0,4.42704e-08,-2.92572
UL,2.15371,215,3,2,8,4,9,3,0,1595,9,1,1.32518,0,0,-2.95333
UL,2.15373,215,3,2,12,1,9,3,0,288,7,0,1.30462,0,0.000273635,-2.89438
UL,2.15398,215,3,3,12,1,9,3,0,288,7,0,1.36587,0,0.00014888,-2.87025
UL,2.15423,215,4,0,12,1,9,3,0,288,7,0,1.36642,0,0.000200734,-2.88196
UL,2.15448,215,4,1,12,1,9,3,0,288,7,0,1.41634,0,0.000119078,-2.86166
UL,2.15473,215,4,2,12,1,9,3,0,288,7,0,1.45049,0,8.4969e-05,-2.84893
UL,2.15498,215,4,3,12,1,9,3,0,288,7,0,1.39051,0,0.000288705,-2.89656
UL,2.15523,215,5,0,12,1,9,3,0,288,7,0,1.33218,0,0.00108367,-2.95352
UL,2.15548,215,5,1,12,1,9,3,0,288,7,0,1.44011,0,0.000345614,-2.90394
UL,2.15573,215,5,2,12,1,9,3,0,288,7,0,1.49662,0,0.000162377,-2.87362
UL,2.15598,215,5,3,12,1,9,3,0,288,7,0,1.6402,0,1.8523e-05,-2.79487
UL,2.15623,215,6,0,12,1,9,3,0,288,7,0,1.85315,0,4.94181e-07,-2.68321
UL,2.15648,215,6,1,12,1,9,3,0,288,7,0,1.97993,0,3.32214e-08,-2.61117
UL,2.15673,215,6,2,12,1,9,3,0,288,7,0,2.0509,0,1.19014e-08,-2.58568
UL,2.15698,215,6,3,12,1,9,3,0,288,7,0,2.1214,0,4.07939e-09,-2.56005
UL,2.15723,215,7,0,12,1,9,3,0,288,7,0,2.08176,0,7.42098e-09,-2.57426
UL,2.15748,215,7,1,12,1,9,3,0,288,7,0,2.1169,0,6.86608e-09,-2.57239
UL,2.15773,215,7,2,12,1,9,3,0,343,8,0,2.17465,0,0.00204882,-2.55075
UL,2.15798,215,7,3,12,1,9,3,0,288,7,0,2.31297,0,1.64245e-10,-2.48823
UL,2.15823,215,8,0,12,1,9,3,0,288,7,0,2.28207,0,2.76518e-10,-2.49941
UL,2.15848,215,8,1,12,1,9,3,0,343,8,0,2.37284,0,4.63816e-05,-2.4521
UL,2.15857,215,8,2,3,1,9,3,0,343,8,0,2.35463,0,5.50972e-05,-2.45603
UL,2.15879,215,8,3,1,1,9,3,0,343,8,0,2.42293,0,7.79357e-06,-2.41362
UL,2.15904,215,9,0,1,1,9,3,0,343,8,0,2.5044,0,7.6426e-07,-2.36848
UL,2.15954,215,9,2,1,1,9,3,0,343,8,0,2.6953,0,5.87581e-09,-2.28669
UL,2.17898,217,8,3,12,1,9,3,0,343,8,0,1.4233,0,0.678645,-2.88367
UL,2.17923,217,9,0,12,1,9,3,0,343,8,0,1.46005,1,0.604176,-2.86299
UL,2.17948,217,9,1,12,1,9,3,0,343,8,0,1.59396,1,0.333722,-2.79192
UL,2.17973,217,9,2,12,1,9,3,0,288,7,0,1.55041,0,3.76369e-05,-2.81939
UL,2.17996,217,9,3,11,1,9,3,0,343,8,1,1.73977,0,0,-2.79671
UL,2.17998,217,9,3,12,1,9,3,0,288,7,0,1.74687,0,2.38025e-06,-2.72917
UL,2.18021,218,0,0,11,1,9,3,0,343,8,1,1.87724,0,0,-2.72768
UL,2.18023,218,0,0,12,1,9,3,0,288,7,0,1.89227,0,2.04189e-07,-2.65875
UL,2.18048,218,0,1,12,1,9,3,0,288,7,0,2.02578,0,1.72695e-08,-2.59481
UL,2.18073,218,0,2,12,1,9,3,0,288,7,0,2.186,0,6.49774e-10,-2.51811
UL,2.18098,218,0,3,12,1,9,3,0,288,7,0,2.23157,0,2.02549e-10,-2.49271
UL,2.18123,218,1,0,12,1,9,3,0,288,7,0,2.26024,0,1.24542e-10,-2.48236
UL,2.18148,218,1,1,12,1,9,3,0,343,8,0,2.30063,0,0.000119196,-2.47417
UL,2.18173,218,1,2,12,1,9,3,0,343,8,0,2.34026,0,0.000109527,-2.47214
UL,2.18198,218,1,3,12,1,9,3,0,343,8,0,2.37954,0,5.68073e-05,-2.45673
UL,2.18223,218,2,0,12,1,9,3,0,343,8,0,2.42499,0,1.01576e-05,-2.4191
UL,2.18248,218,2,1,12,1,9,3,0,343,8,0,2.53744,0,7.76771e-07,-2.36878
UL,2.18273,218,2,2,12,1,9,3,0,343,8,0,2.64475,0,5.01525e-08,-2.32094
UL,2.18298,218,2,3,12,1,9,3,0,343,8,0,2.77066,0,8.86505e-10,-2.25838
UL,2.18323,218,3,0,12,1,9,3,0,343,8,0,2.90006,0,2.15106e-12,-2.17742
UL,2.18348,218,3,1,12,1,9,3,0,343,8,0,2.9282,0,1.04117e-12,-2.16844
UL,2.18357,218,3,2,3,1,9,3,0,343,8,0,2.95513,0,4.36096e-13,-2.15785
UL,2.18379,218,3,3,1,1,9,3,0,343,8,0,3.00135,0,4.55191e-14,-2.13124
UL,2.18404,218,4,0,1,1,9,3,0,398,9,0,3.05628,0,0.0256431,-2.10883
UL,2.18454,218,4,2,1,1,9,3,0,398,9,0,3.52759,0,7.65204e-06,-1.89779
UL,2.18954,218,9,2,1,1,9,3,0,398,9,0,3.43512,0,3.30305e-06,-1.88206
UL,2.18979,218,9,3,1,1,9,3,0,398,9,0,3.35788,0,1.56037e-05,-1.91167
UL,2.19005,219,0,0,2,1,9,3,0,398,9,0,3.39258,0,1.13647e-05,-1.90543
UL,2.20423,220,4,0,12,1,9,3,0,398,9,0,2.8916,0,0.088367,-2.16363
UL,2.20448,220,4,1,12,1,9,3,0,398,9,0,2.86744,0,0.126505,-2.18284
UL,2.20473,220,4,2,12,1,9,3,0,398,9,0,2.75443,1,0.269865,-2.23219
UL,2.20498,220,4,3,12,1,9,3,0,398,9,0,2.68433,0,0.398455,-2.26565
UL,2.20523,220,5,0,12,1,9,3,0,343,8,0,2.53299,0,8.9369e-08,-2.33061
UL,2.20546,220,5,1,11,1,9,3,0,398,9,1,2.56848,0,0,-2.27425
UL,2.20548,220,5,1,12,1,9,3,0,343,8,0,2.55656,0,5.06312e-08,-2.32109
UL,2.20573,220,5,2,12,1,9,3,0,343,8,0,2.48078,0,4.97645e-07,-2.36064
UL,2.20598,220,5,3,12,1,9,3,0,343,8,0,2.40598,0,3.11649e-06,-2.39521
UL,2.20623,220,6,0,12,1,9,3,0,343,8,0,2.30638,0,5.99188e-05,-2.45796
UL,2.20648,220,6,1,12,1,9,3,0,343,8,0,2.35274,0,2.11996e-05,-2.43473
UL,2.20673,220,6,2,12,1,9,3,0,343,8,0,2.35301,0,3.21974e-05,-2.4439
UL,2.20698,220,6,3,12,1,9,3,0,343,8,0,2.23443,0,0.000285325,-2.49587
UL,2.20723,220,7,0,12,1,9,3,0,343,8,0,2.29359,0,7.20156e-05,-2.46222
UL,2.20748,220,7,1,12,1,9,3,0,343,8,0,2.3311,0,3.49219e-05,-2.44571
UL,2.20773,220,7,2,12,1,9,3,0,343,8,0,2.29483,0,7.37063e-05,-2.46277
UL,2.20798,220,7,3,12,1,9,3,0,343,8,0,2.2522,0,0.000284584,-2.49581
UL,2.20823,220,8,0,12,1,9,3,0,343,8,0,2.17351,0,0.00114827,-2.53364
UL,2.20848,220,8,1,12,1,9,3,0,343,8,0,2.15042,0,0.00177678,-2.54646
UL,2.20873,220,8,2,12,1,9,3,0,343,8,0,2.08774,0,0.00658057,-2.58851
UL,2.20898,220,8,3,12,1,9,3,0,343,8,0,2.12515,0,0.00337522,-2.56632
UL,2.20923,220,9,0,12,1,9,3,0,343,8,0,2.12898,0,0.00379625,-2.5701
UL,2.20948,220,9,1,12,1,9,3,0,343,8,0,1.95623,0,0.0364496,-2.65553
UL,2.20973,220,9,2,12,1,9,3,0,343,8,0,1.92151,0,0.0500369,-2.67022
UL,2.20998,220,9,3,12,1,9,3,0,343,8,0,1.7798,0,0.189339,-2.74637
UL,2.21023,221,0,0,12,1,9,3,0,343,8,0,1.74232,1,0.268202,-2.7728
UL,2.21048,221,0,1,12,1,9,3,0,343,8,0,1.87558,1,0.083072,-2.69596
UL,2.21073,221,0,2,12,1,9,3,0,288,7,0,1.82013,0,2.2418e-06,-2.72736
UL,2.21096,221,0,3,11,1,9,3,0,343,8,1,1.78183,0,0,-2.7509
UL,2.21098,221,0,3,12,1,9,3,0,288,7,0,1.81498,0,1.51348e-06,-2.71559
UL,2.21121,221,1,0,11,1,9,3,0,343,8,1,1.89215,0,0,-2.68579
UL,2.21123,221,1,0,12,1,9,3,0,343,8,0,1.86868,0,0.0673098,-2.6849
UL,2.21148,221,1,1,12,1,9,3,0,288,7,0,1.8391,0,7.80267e-07,-2.69622
UL,2.21157,221,1,2,3,1,9,3,0,288,7,0,1.77548,0,3.14837e-06,-2.73772
UL,2.21179,221,1,3,1,1,9,3,0,343,8,0,1.8022,0,0.129159,-2.72131
UL,2.21204,221,2,0,1,1,9,3,0,288,7,0,1.68693,0,1.18169e-05,-2.77984
UL,2.21254,221,2,2,1,1,9,3,0,288,7,0,1.64192,0,2.22201e-05,-2.80106
UL,2.21479,221,4,3,1,1,9,3,0,288,7,0,1.47359,0,0.000370828,-2.90686
UL,2.21504,221,5,0,1,1,9,3,0,288,7,0,1.28612,0,0.00294112,-3.0014
UL,2.2153,221,5,1,2,1,9,3,0,288,7,0,1.26235,0,0.00369655,-3.01309
UL,2.23048,223,0,1,12,1,9,3,0,288,7,0,0.290236,0,0.666219,-3.5227
UL,2.23073,223,0,2,11,2,9,3,0,580,7,0,0.233957,1,0.649152,-3.55677
UL,2.23098,223,0,3,11,2,9,3,0,580,7,0,0.282393,1,0.523204,-3.52998
UL,2.23123,223,1,0,12,1,9,3,0,233,6,0,0.219743,0,5.48567e-05,-3.56696
UL,2.23146,223,1,1,10,2,9,3,0,580,7,1,0.346571,0,0,-3.52537
UL,2.23148,223,1,1,12,1,9,3,0,233,6,0,0.405346,0,2.81867e-06,-3.46021
UL,2.23171,223,1,2,10,2,9,3,0,580,7,1,0.336993,0,0,-3.51167
UL,2.23173,223,1,2,12,1,9,3,0,233,6,0,0.314593,0,1.07244e-05,-3.50604
UL,2.23198,223,1,3,12,1,9,3,0,233,6,0,0.300713,0,1.29396e-05,-3.51275
UL,2.23223,223,2,0,12,1,9,3,0,233,6,0,0.230218,0,3.79363e-05,-3.55266
UL,2.23248,223,2,1,12,1,9,3,0,233,6,0,0.292529,0,1.43344e-05,-3.51644
UL,2.23273,223,2,2,12,1,9,3,0,233,6,0,0.25202,0,3.06811e-05,-3.54457
UL,2.23298,223,2,3,12,1,9,3,0,233,6,0,0.307075,0,9.81517e-06,-3.5029
UL,2.23323,223,3,0,12,1,9,3,0,233,6,0,0.467368,0,6.60949e-07,-3.41384
UL,2.23348,223,3,1,12,1,9,3,0,233,6,0,0.422023,0,1.78248e-06,-3.44521
UL,2.23373,223,3,2,12,1,9,3,0,233,6,0,0.476064,0,7.35595e-07,-3.41715
UL,2.23398,223,3,3,12,1,9,3,0,233,6,0,0.396961,0,3.30944e-06,-3.46555
UL,2.23423,223,4,0,12,1,9,3,0,233,6,0,0.351614,0,7.76496e-06,-3.49466
UL,2.23448,223,4,1,12,1,9,3,0,233,6,0,0.436467,0,1.59214e-06,-3.44156
UL,2.23473,223,4,2,12,1,9,3,0,233,6,0,0.4853,0,8.17457e-07,-3.42044
UL,2.23498,223,4,3,12,1,9,3,0,233,6,0,0.46981,0,1.2762e-06,-3.43448
UL,2.23523,223,5,0,12,1,9,3,0,233,6,0,0.392136,0,6.47694e-06,-3.48836
UL,2.23548,223,5,1,12,1,9,3,0,233,6,0,0.406389,0,5.26813e-06,-3.48126
UL,2.23573,223,5,2,12,1,9,3,0,233,6,0,0.362234,0,1.08103e-05,-3.50632
UL,2.23598,223,5,3,12,1,9,3,0,233,6,0,0.509713,0,9.47141e-07,-3.42505
UL,2.23623,223,6,0,12,1,9,3,0,233,6,0,0.595472,0,2.04326e-07,-3.37849
UL,2.23648,223,6,1,12,1,9,3,0,233,6,0,0.607149,0,1.81947e-07,-3.37509
UL,2.23673,223,6,2,12,1,9,3,0,233,6,0,0.574731,0,4.1622e-07,-3.3997
UL,2.23698,223,6,3,12,1,9,3,0,233,6,0,0.571737,0,4.57627e-07,-3.40257
UL,2.23723,223,7,0,12,1,9,3,0,233,6,0,0.700963,0,2.19017e-08,-3.31578
UL,2.23748,223,7,1,12,1,9,3,0,233,6,0,0.883078,0,4.28355e-10,-3.21677
UL,2.23773,223,7,2,12,1,9,3,0,233,6,0,0.739599,0,8.33891e-09,-3.29025
UL,2.23798,223,7,3,12,1,9,3,0,233,6,0,0.885233,0,3.80029e-10,-3.21395
UL,2.23823,223,8,0,12,1,9,3,0,288,7,0,0.925542,0,0.0611441,-3.19207
UL,2.23848,223,8,1,12,1,9,3,0,233,6,0,0.851374,0,8.80395e-10,-3.23397
UL,2.23873,223,8,2,12,1,9,3,0,288,7,0,0.959819,0,0.0514744,-3.17831
UL,2.23898,223,8,3,12,1,9,3,0,288,7,0,0.971511,0,0.0478029,-3.17255
UL,2.23923,223,9,0,12,1,9,3,0,288,7,0,1.04749,0,0.0270836,-3.13119
UL,2.23948,223,9,1,12,1,9,3,0,288,7,0,0.993175,0,0.0410167,-3.16094
UL,2.23973,223,9,2,12,1,9,3,0,288,7,0,1.03873,0,0.0311047,-3.14085
UL,2.23998,223,9,3,12,1,9,3,0,288,7,0,1.07159,0,0.025904,-3.12814
UL,2.24023,224,0,0,12,1,9,3,0,288,7,0,1.17382,1,0.0087254,-3.05999
UL,2.24048,224,0,1,12,1,9,3,0,288,7,0,1.21525,0,0.00670062,-3.04503
UL,2.24073,224,0,2,12,1,9,3,0,288,7,0,1.10509,0,0.0234905,-3.12151
UL,2.24095,224,0,3,10,1,9,3,0,288,7,1,1.04354,0,0,-3.10784
UL,2.24098,224,0,3,11,2,9,3,0,580,7,0,1.00506,0,4.70124e-06,-3.1757
UL,2.24123,224,1,0,12,1,9,3,0,288,7,0,1.07082,0,0.0337599,-3.14669
UL,2.24148,224,1,1,12,1,9,3,0,288,7,0,0.972509,0,0.0701358,-3.20344
UL,2.24173,224,1,2,12,1,9,3,0,288,7,0,1.0195,0,0.0537274,-3.18168
UL,2.24198,224,1,3,12,1,9,3,0,288,7,0,1.03737,0,0.0482604,-3.17329
UL,2.24223,224,2,0,12,1,9,3,0,288,7,0,1.06428,0,0.0374807,-3.15427
UL,2.24273,224,2,2,12,1,9,3,0,288,7,0,1.04486,0,0.0415287,-3.16187
UL,2.24298,224,2,3,11,2,9,3,0,580,7,0,1.06152,0,1.00593e-06,-3.15138
UL,2.24329,224,3,1,1,1,9,3,0,288,7,0,1.19932,0,0.00871949,-3.05995
UL,2.24354,224,3,2,1,1,9,3,0,288,7,0,1.09367,0,0.0252912,-3.1265
UL,2.24404,224,4,0,1,1,9,3,0,288,7,0,1.01639,0,0.0434262,-3.16523
UL,2.24429,224,4,1,1,1,9,3,0,288,7,0,1.03569,0,0.0375451,-3.1544
UL,2.24454,224,4,2,1,1,9,3,0,288,7,0,1.1783,0,0.00965784,-3.06589
