Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494125,ConnectionEstablishedEnb,9,3,2,NA
0.4816,HandoverStartEnb,9,3,2,8
0.483008,HandoverEndOkEnb,9,8,1,NA
1.2846,HandoverStartEnb,9,8,1,10
1.28601,HandoverEndOkEnb,9,10,1,NA
1.3994,HandoverStartEnb,9,10,1,8
1.40081,HandoverEndOkEnb,9,8,2,NA
1.6124,HandoverStartEnb,9,8,2,3
1.61381,HandoverEndOkEnb,9,3,4,NA
2.2464,HandoverStartEnb,9,3,4,10
2.24774,HandoverEndOkEnb,9,10,2,NA
2.68,HandoverStartEnb,9,10,2,3
2.68141,HandoverEndOkEnb,9,3,5,NA
3.8704,HandoverStartEnb,9,3,5,10
3.8716,HandoverEndOkEnb,9,10,3,NA
4.1296,HandoverStartEnb,9,10,3,8
4.13101,HandoverEndOkEnb,9,8,4,NA
4.6,HandoverStartEnb,9,8,4,10
4.60117,HandoverEndOkEnb,9,10,4,NA
4.9904,HandoverStartEnb,9,10,4,3
4.9916,HandoverEndOkEnb,9,3,7,NA
5.2502,HandoverStartEnb,9,3,7,10
5.25157,HandoverEndOkEnb,9,10,5,NA
5.7136,HandoverStartEnb,9,10,5,8
5.71501,HandoverEndOkEnb,9,8,6,NA
6.4292,HandoverStartEnb,9,8,6,10
6.4304,HandoverEndOkEnb,9,10,6,NA
6.696,HandoverStartEnb,9,10,6,8
6.6974,HandoverEndOkEnb,9,8,7,NA
10.5054,HandoverStartEnb,9,8,7,3
10.5068,HandoverEndOkEnb,9,3,13,NA
11.4896,HandoverStartEnb,9,3,13,8
11.491,HandoverEndOkEnb,9,8,9,NA
12.168,HandoverStartEnb,9,8,9,3
12.1694,HandoverEndOkEnb,9,3,15,NA
13.2112,HandoverStartEnb,9,3,15,10
13.2124,HandoverEndOkEnb,9,10,10,NA
13.6656,HandoverStartEnb,9,10,10,8
13.667,HandoverEndOkEnb,9,8,11,NA
13.8464,HandoverStartEnb,9,8,11,3
13.8478,HandoverEndOkEnb,9,3,17,NA
15.9104,HandoverStartEnb,9,3,17,8
15.9118,HandoverEndOkEnb,9,8,14,NA
19.1624,HandoverStartEnb,9,8,14,10
19.1638,HandoverEndOkEnb,9,10,16,NA
19.456,HandoverStartEnb,9,10,16,3
19.4574,HandoverEndOkEnb,9,3,25,NA
28.264,HandoverStartEnb,9,3,25,8
28.2654,HandoverEndOkEnb,9,8,19,NA
28.5536,HandoverStartEnb,9,8,19,3
28.555,HandoverEndOkEnb,9,3,34,NA
29.5664,HandoverStartEnb,9,3,34,10
29.5678,HandoverEndOkEnb,9,10,22,NA
29.7872,HandoverStartEnb,9,10,22,3
29.7886,HandoverEndOkEnb,9,3,36,NA
31.0864,HandoverStartEnb,9,3,36,10
31.0878,HandoverEndOkEnb,9,10,25,NA
31.3712,HandoverStartEnb,9,10,25,3
31.3726,HandoverEndOkEnb,9,3,38,NA
32.0432,HandoverStartEnb,9,3,38,10
32.0446,HandoverEndOkEnb,9,10,27,NA
32.5568,HandoverStartEnb,9,10,27,3
32.5582,HandoverEndOkEnb,9,3,41,NA
34.5872,HandoverStartEnb,9,3,41,8
34.5886,HandoverEndOkEnb,9,8,22,NA
35.0248,HandoverStartEnb,9,8,22,3
35.0262,HandoverEndOkEnb,9,3,43,NA
41.4896,HandoverStartEnb,9,3,43,10
41.491,HandoverEndOkEnb,9,10,33,NA
41.7952,HandoverStartEnb,9,10,33,8
41.7966,HandoverEndOkEnb,9,8,25,NA
43.1248,HandoverStartEnb,9,8,25,10
43.1262,HandoverEndOkEnb,9,10,34,NA
43.4468,HandoverStartEnb,9,10,34,3
43.4482,HandoverEndOkEnb,9,3,49,NA
43.8352,HandoverStartEnb,9,3,49,8
43.8366,HandoverEndOkEnb,9,8,27,NA
44.7872,HandoverStartEnb,9,8,27,3
44.7883,HandoverEndOkEnb,9,3,52,NA
45.9696,HandoverStartEnb,9,3,52,8
45.971,HandoverEndOkEnb,9,8,28,NA
47.2264,HandoverStartEnb,9,8,28,3
47.2278,HandoverEndOkEnb,9,3,56,NA
49.52,HandoverStartEnb,9,3,56,8
49.5214,HandoverEndOkEnb,9,8,31,NA
49.8768,HandoverStartEnb,9,8,31,3
49.8782,HandoverEndOkEnb,9,3,60,NA
50.1536,HandoverStartEnb,9,3,60,8
50.155,HandoverEndOkEnb,9,8,32,NA
56.2432,HandoverStartEnb,9,8,32,3
56.2446,HandoverEndOkEnb,9,3,63,NA
56.8832,HandoverStartEnb,9,3,63,8
56.8846,HandoverEndOkEnb,9,8,34,NA
57.0514,HandoverStartEnb,9,8,34,10
57.0528,HandoverEndOkEnb,9,10,39,NA
57.8272,HandoverStartEnb,9,10,39,3
